StopId,Code,Name,StopType,Zone,Ward,AddressNo,Street,SupportDisability,Status,Lng,Lat,Search,Routes_Outbound,Routes_Inbound,Total_Routes,Both_Directions,HasSupport
3187,BX 74,Trường Trung học Phổ thông Hiệp Bình,Bến xe,TP. Thủ Đức - KV3,,Trường Hiệp Bình,Hiệp Bình,No,Đang khai thác,106.721474,10.84741,TThPtHB THB HB,57,57,2,Yes,False
429,Q5 002,Chợ Bầu Sen,Trụ dừng,Quận 5,,370,An Dương Vương,No,Đang khai thác,106.678764,10.759407,CBS 370 ADV,,6,1,No,False
3388,QTD 133,Phòng khám đa khoa Á Châu,Trụ dừng,TP. Thủ Đức - KV3,Phường Linh Tây,895,Kha Vạn Cân,No,Đang khai thác,106.758603,10.858411,PkdkAC 895 KVC,,93,1,No,False
936,Q12 108,Cầu Bến Cát,Trụ dừng,Quận 12,,973,Quốc lộ 1A,No,Đang khai thác,106.662247,10.861335,CBC 973 Ql1A,103,146,2,Yes,False
2184,Q7 035,Cầu Phú Mỹ,Trụ dừng,Quận 7,Phường Tân Phú,731,Huỳnh Tấn Phát,No,Đang khai thác,106.730681,10.736639,CPM 731 HTP,,20,1,No,False
221,QGV 123,Bệnh Viện 175,Trụ dừng,Quận Gò Vấp,,883-885,Nguyễn Kiệm,No,Đang khai thác,106.678727,10.820044,BV175 883-885 NK,,103,1,No,False
1876,Q1 115,Mạc Đỉnh Chi,Nhà chờ,Quận 1,,102,Nguyễn Đình Chiểu,No,Đang khai thác,106.697861,10.786848,MDC 102 NDC,,93,1,No,False
7860,QBTH 166,Chung cư 1050,Trụ dừng,Quận Bình Thạnh,Phường 12,Đối diện chung cư 1050,Phan Chu Trinh,Có,Chưa khai thác,106.70068,10.815899,Cc1050 Ddcc1050 PCT,161,,1,No,True
2623,QGV 026,Nhà Thờ Hà Nội,Trụ dừng,Quận Gò Vấp,,687,Thống Nhất,No,Đang khai thác,106.665106,10.851082,NTHN 687 TN,,146,1,No,False
812,HBC 023,đường Ấp 2,Trụ dừng,Huyện Bình Chánh,,Cột điện T28P (Cột điện 332),Nguyễn Văn Linh,No,Đang khai thác,106.602321,10.69152,dA2 CdT(d332) NVL,,102,1,No,False
2725,Q1 109,Sở Tài nguyên Môi trường,Nhà chờ,Quận 1,Phường Bến Nghé,63,Lý Tự Trọng,No,Đang khai thác,106.700386,10.777108,STnMt 63 LTT,44,,1,No,False
7278,Q1 192,Trường Emst Thalmann,Nhà chờ,Quận 1,Phường Phạm Ngũ Lão,Trường Emst Thalmann,Phạm Ngũ Lão,Có,Đang khai thác,106.695587,10.769504,TET TET PNL,"4, 20, 65, 69, 93",,5,No,True
3292,HBC 122,Cầu Sập,Trụ dừng,Huyện Bình Chánh,,Đối diện G11/10,Láng Le bàu Cò,No,Đang khai thác,106.550608,10.768487,CS DdG LLbC,73,,1,No,False
3049,QBTH 028,Cư xá Thanh Đa,Trụ dừng,Quận Bình Thạnh,,1027,Bình Quới,No,Đang khai thác,106.728484,10.821391,CxTD 1027 BQ,,44,1,No,False
889,HBC 452,Trạm thu phí Chợ Bình Điền,Ô sơn,Huyện Bình Chánh,,Đối diện công ty bất động sản,Đường vào Chợ ĐM Bình Điền,No,Đang khai thác,106.609359,10.698405,TtpCBD Ddctbds DvCDBD,102,102,2,Yes,False
1304,HHM 037,Công ty thoát nước đô thị,Trụ dừng,Huyện Hóc Môn,Xã Tân Hiệp,200 (Công ty thoát nước đô thị),Quốc lộ 22,No,Đang khai thác,106.567812,10.911664,Cttndt 200(ttndt Ql22,74,,1,No,False
881,HBC 33,Khu đô thị Hạnh Phúc,Trụ dừng,Huyện Bình Chánh,,Cột đèn 156,Nguyễn Văn Linh,No,Đang khai thác,106.649158,10.714903,KdtHP Cd156 NVL,102,,1,No,False
