StopId,Code,Name,StopType,Zone,Ward,AddressNo,Street,SupportDisability,Status,Lng,Lat,Search,Routes_Outbound,Routes_Inbound,Total_Routes,Both_Directions,HasSupport
4217,Q6 066,Bệnh viện Quận 6,Trụ dừng,Quận 6,,256B-256C,Nguyễn Văn Luông,No,Đang khai thác,106.635157,10.747096,BvQ6 256B-256C NVL,,61,1,No,False
3296,HBC 126,Cổng 4,Trụ dừng,Huyện Bình Chánh,,Đối diện G14/18,Láng Le bàu Cò,No,Đang khai thác,106.544096,10.756271,C4 DdG LLbC,73,,1,No,False
3071,Q4 039,Tôn Đản,Trụ dừng,Quận 4,,322-324A,Tôn Đản,No,Đang khai thác,106.705711,10.7551,TD 322-324A TD,,44,1,No,False
681,HBC 231,Ấp 2,Trụ dừng,Huyện Bình Chánh,,C5/31D,Hương Lộ 11,No,Đang khai thác,106.626177,10.649242,A2 C HL11,,9,1,No,False
424,Q5 074,Đại học Khoa học Tự nhiên,Nhà chờ,Quận 5,,227,Nguyễn Văn Cừ,No,Đang khai thác,106.682388,10.763354,DhKhTn 227 NVC,,6,1,No,False
3474,HBC 288,Kênh A,Ô sơn,Huyện Bình Chánh,Xã Phạm Văn Hai,Cafe 94 (2A/94),Tỉnh lộ 10 Bình Chánh,No,Đang khai thác,106.533437,10.780034,KA C94( Tl10BC,81,,1,No,False
3704,Q9 117,Lò Lu,Trụ dừng,TP. Thủ Đức - KV2,,Cột điện PB 28,Lò Lu,No,Đang khai thác,106.828857,10.825013,LL CdP28 LL,76,,1,No,False
540,QGV 048,UBND Phường 5,Trụ dừng,Quận Gò Vấp,,247,Nguyễn Thái Sơn,No,Đang khai thác,106.688259,10.825513,UP5 247 NTS,,146,1,No,False
2131,Q7 014,Mầm non Ban Mai,Trụ dừng,Quận 7,Phường Phú Mỹ,1004A,Huỳnh Tấn Phát,No,Đang khai thác,106.735412,10.722836,MnBM 1004A HTP,20,,1,No,False
4192,Q9 027,Cầu Nam Lý,Ô sơn,TP. Thủ Đức - KV2,,đối diện 13KD (585),Đỗ Xuân Hợp,No,Đang khai thác,106.776016,10.811693,CNL dd13KD( DXH,29,,1,No,False
4098,Q9 263,Đường cầu xây,Ô sơn,TP. Thủ Đức - KV2,Phường Long Thạnh Mỹ,54A-56 (58),Hoàng Hữu Nam,No,Đang khai thác,106.813675,10.854681,Dcx 54A-56( HHN,99,,1,No,False
371,Q1 100,nhà thờ Mạc Ti Nho,Nhà chờ,Quận 1,Phường Đa Kao,16A,Nguyễn Thị Minh Khai,No,Đang khai thác,106.701294,10.786397,ntMTN 16A NTMK,,6,1,No,False
2137,HNB 012,Việt Long Sài Gòn,Nhà chờ,Huyện Nhà Bè,Xã Phú Xuân,Công ty Việt Long Sài Gòn,Huỳnh Tấn Phát,No,Đang khai thác,106.757192,10.676897,VLSG CtVLSG HTP,20,,1,No,False
265,QTB 116,ETown,Trụ dừng,Quận Tân Bình,,496,Cộng Hòa,No,Đang khai thác,106.640967,10.802571,E 496 CH,4,,1,No,False
694,HBC 270,Công ty Tia Sáng,Trụ dừng,Huyện Bình Chánh,Xã Bình Chánh,D16/6 (1/11A),Đinh Đức Thiện,No,Đang khai thác,106.582854,10.657213,CtTS D( DDT,,9,1,No,False
3035,HBC 188,Đường liên Ấp 1-2,Trụ dừng,Huyện Bình Chánh,,Cột điện H148P (A14/396),Quốc lộ 50,No,Đang khai thác,106.65154,10.662801,DlA1-2 CdH( Ql50,47,,1,No,False
889,HBC 452,Trạm thu phí Chợ Bình Điền,Ô sơn,Huyện Bình Chánh,,Đối diện công ty bất động sản,Đường vào Chợ ĐM Bình Điền,No,Đang khai thác,106.609359,10.698405,TtpCBD Ddctbds DvCDBD,102,102,2,Yes,False
1080,HNB 070,Chợ Bà Chồi,Trụ dừng,Huyện Nhà Bè,,372 (Chợ Bà Chồi),Nguyễn Văn Tạo,No,Đang khai thác,106.730316,10.650117,CBC 372(BC NVT,72,,1,No,False
827,HBC 039,Phạm Hùng,Trụ dừng,Huyện Bình Chánh,,C11/36B7 (Hai Nô),Nguyễn Văn Linh,No,Đang khai thác,106.67675,10.727517,PH C(N NVL,,102,1,No,False
3638,HCC 004,Mũi tàu Tỉnh lộ 2,Trụ dừng,Huyện Củ Chi,Xã Tân Phú Trung,158,Quốc lộ 22,No,Đang khai thác,106.549553,10.934983,MtTl2 158 Ql22,74,,1,No,False
1118,HNB 060,Nhà Tưởng niệm Liệt sỹ Nhà Bè,Ô sơn,Huyện Nhà Bè,,Đối diện Nghĩa trang liệt sỹ Nhà Bè,Nguyễn Văn Tạo,No,Đang khai thác,106.741308,10.604189,NTnLsNB DdNtlsNB NVT,,72,1,No,False
3652,HCC 040,xóm Huế,Trụ dừng,Huyện Củ Chi,Xã Tân Thông Hội,457,Quốc lộ 22,No,Đang khai thác,106.49735,10.963449,xH 457 Ql22,,74,1,No,False
1514,Q9 084,Trạm xăng số 5,Trụ dừng,TP. Thủ Đức - KV2,,365B (Đối diện 27),Lã Xuân Oai,No,Đang khai thác,106.809683,10.819902,Txs5 365B(d27) LXO,141,,1,No,False
1569,Q11 046,Bãi xe buýt Đầm Sen,Nhà chờ,Quận 11,,7B (Bến xe buýt Đầm Sen),Hòa Bình,No,Đang khai thác,106.639776,10.767929,BxbDS 7B(xbDS HB,,"62, 69",2,No,False
3936,HBC 401,Phước Hưng,Trụ dừng,Huyện Bình Chánh,Thị trấn Tân Túc,Cột điện T113L (Đối diện điện lực Bình Chánh),Nguyễn Hữu Trí,No,Đang khai thác,106.562882,10.68812,PH CdT(ddlBC NHT,,84,1,No,False
2467,BX 10,Đường A1 (Phà Cát Lái),Bến xe,TP. Thủ Đức - KV1,,PHÀ CÁT LÁI,Đường A,No,Đang khai thác,106.782669,10.762,DA(CL PCL DA,29,29,2,Yes,False
4184,Q9 019,Đường 655,Trụ dừng,TP. Thủ Đức - KV2,,Đối diện 665,Đỗ Xuân Hợp,No,Đang khai thác,106.779162,10.800692,D655 Dd665 DXH,,"29, 153",2,No,False
586,QTD 157,Ngã tư Bình Triệu,Trụ dừng,TP. Thủ Đức - KV3,Phường Hiệp Bình Chánh,599,Phạm Văn Đồng,No,Đang khai thác,106.715848,10.826557,NtBT 599 PVD,,93,1,No,False
2926,QTP 056,Đầu cầu xéo,Trụ dừng,Quận Tân Phú,,Đối diện 9,Cầu Xéo,No,Đang khai thác,106.624222,10.800399,Dcx Dd9 CX,,41,1,No,False
256,QTB 099,Cổng trước SVĐ Quân Khu 7,Nhà chờ,Quận Tân Bình,,A2 (Sân vận động Quân khu 7),Phan Đình Giót,No,Đang khai thác,106.66678,10.800848,CtSQK7 A(vdQk7) PDG,4,,1,No,False
406,QTD 059,Làng Thiếu Niên Thủ Đức,Trụ dừng,TP. Thủ Đức - KV3,,249,Đặng Văn Bi,No,Đang khai thác,106.758698,10.849723,LTNTD 249 DVB,,"6, 29",2,No,False
3136,HBC 213,Chùa Thiện Phước,Trụ dừng,Huyện Bình Chánh,,E9/251,Quốc lộ 50,No,Đang khai thác,106.654587,10.701768,CTP E Ql50,,47,1,No,False
3325,QBT 178,Tứ Hưng,Trụ dừng,Quận Bình Tân,,100A,Trần Đại Nghĩa,No,Đang khai thác,106.594301,10.725603,TH 100A TDN,61,,1,No,False
3191,Q9 047,Cổng Đình,Trụ dừng,TP. Thủ Đức - KV2,,32,Đình Phong Phú,No,Đang khai thác,106.781128,10.843428,CD 32 DPP,,"57, 99",2,No,False
2929,QBT 263,Bệnh viện Bình Tân,Trụ dừng,Quận Bình Tân,Phường Bình Trị Đông A,Bệnh viện BT,Mã Lò,No,Đang khai thác,106.603798,10.763949,BvBT BvB ML,,41,1,No,False
373,QBTH 127,Nhà thờ Thị Nghè,Trụ dừng,Quận Bình Thạnh,,79,Xô Viết Nghệ Tĩnh,No,Đang khai thác,106.708054,10.793661,NtTN 79 XVNT,,6,1,No,False
2562,Q10 084,Hội thánh tin lành Hòa Hưng,Trụ dừng,Quận 10,,601,Cách Mạng Tháng Tám,No,Đang khai thác,106.668684,10.784671,HttlHH 601 CMTT,,65,1,No,False
3697,Q9 136,phim trường,Trụ dừng,TP. Thủ Đức - KV2,Phường Long Phước,Đối diện 168,Long Thuận,No,Đang khai thác,106.846359,10.81146,pt Dd168 LT,76,88,2,Yes,False
3897,HBC 308,Đường Kênh 9,Trụ dừng,Huyện Bình Chánh,Xã Bình Lợi,D1/463/1 - cột điện 39p,"Vườn Thơm, Bình Chánh",No,Đang khai thác,106.506336,10.772192,DK9 D-cd39p VTBC,81,,1,No,False
701,HBC 382,Trịnh Như Khuê,Trụ dừng,Huyện Bình Chánh,Xã An Phú Tây,D10/6B,Quốc lộ 1A,No,Đang khai thác,106.576663,10.670197,TNK D Ql1A,73,9,2,Yes,False
1659,QGV 133,Đài Liệt sĩ,Trụ dừng,Quận Gò Vấp,,178,Nguyễn Văn Lượng,No,Đang khai thác,106.676366,10.838612,DLs 178 NVL,146,,1,No,False
3054,QBTH 033,Chùa Bửu Liên,Trụ dừng,Quận Bình Thạnh,,609,Xô Viết Nghệ Tĩnh,No,Đang khai thác,106.713442,10.810862,CBL 609 XVNT,,44,1,No,False
3653,HCC 045,Trạm Hồng Đào,Trụ dừng,Huyện Củ Chi,Xã Tân Thông Hội,157,Quốc lộ 22,No,Đang khai thác,106.518974,10.950651,THD 157 Ql22,,74,1,No,False
719,Q6 040,Ngân hàng ACB,Trụ dừng,Quận 6,,871,Hồng Bàng,No,Đang khai thác,106.641245,10.754295,NhA 871 HB,,"9, 81, 84",3,No,False
725,BX 46,Bến xe Miền Tây,Bến xe,Quận Bình Tân,,Bến xe Miền Tây,Kinh Dương Vương,No,Đang khai thác,106.619438,10.739486,BxMT BxMT KDV,"41, 102, 151","41, 102, 151",6,Yes,False
908,QTB 058,Bệnh viện Thống Nhất,Nhà chờ,Quận Tân Bình,,1236 (544),Cách Mạng Tháng Tám,No,Đang khai thác,106.653991,10.792649,BvTN 1236( CMTT,"65, 103",,2,No,False
1143,HNB 021,Đào Tông Nguyên,Trụ dừng,Huyện Nhà Bè,Xã Phú Xuân,23/3,Huỳnh Tấn Phát,No,Đang khai thác,106.746994,10.681985,DTN 23/3 HTP,,20,1,No,False
